plot,falltreatment,treatment,block,seedsOut,species,background,bdensity,disturbed,AVFA_seedsIn,BRHO_seedsIn,ESCA_seedsIn,LACA_seedsIn,VUMY_seedsIn
1,dry,consistentDry,A,1.1629,BRHO,Avena fatua,low,NA,74,12,15,15,12
1,dry,consistentDry,A,45.0608,VUMY,Avena fatua,low,NA,74,12,15,15,12
1,dry,consistentDry,A,5.4882,ESCA,Avena fatua,low,NA,74,12,15,15,12
1,dry,consistentDry,A,0,LACA,Avena fatua,low,NA,74,12,15,15,12
1,dry,consistentDry,A,7.6646,ESCA,Bromus hordeaceus,high,NA,10,3231,15,15,12
1,dry,consistentDry,A,93.3745,AVFA,Bromus hordeaceus,high,NA,10,3231,15,15,12
1,dry,consistentDry,A,0,VUMY,Bromus hordeaceus,high,NA,10,3231,15,15,12
1,dry,consistentDry,A,1.2911,LACA,Bromus hordeaceus,high,NA,10,3231,15,15,12
1,dry,consistentDry,A,12.8826,AVFA,Lasthenia californica,high,NA,10,12,15,30980,12
1,dry,consistentDry,A,4.0315,BRHO,Lasthenia californica,high,NA,10,12,15,30980,12
1,dry,consistentDry,A,24.1025,VUMY,Lasthenia californica,high,NA,10,12,15,30980,12
1,dry,consistentDry,A,9.8409,ESCA,Lasthenia californica,high,NA,10,12,15,30980,12
1,dry,consistentDry,A,9.6517,ESCA,Lasthenia californica,low,NA,10,12,15,7745,12
1,dry,consistentDry,A,8.7866,BRHO,Lasthenia californica,low,NA,10,12,15,7745,12
1,dry,consistentDry,A,0,VUMY,Lasthenia californica,low,NA,10,12,15,7745,12
1,dry,consistentDry,A,32.4486,AVFA,Lasthenia californica,low,NA,10,12,15,7745,12
1,dry,consistentDry,A,0,VUMY,Bromus hordeaceus,low,NA,10,808,15,15,12
1,dry,consistentDry,A,2.8387,ESCA,Bromus hordeaceus,low,NA,10,808,15,15,12
1,dry,consistentDry,A,12.2834,LACA,Bromus hordeaceus,low,NA,10,808,15,15,12
1,dry,consistentDry,A,36.7105,AVFA,Bromus hordeaceus,low,NA,10,808,15,15,12
1,dry,consistentDry,A,100.1548,AVFA,Eschscholzia californica,high,NA,10,12,3179,15,12
1,dry,consistentDry,A,3.2734,BRHO,Eschscholzia californica,high,NA,10,12,3179,15,12
1,dry,consistentDry,A,5.0736,LACA,Eschscholzia californica,high,NA,10,12,3179,15,12
1,dry,consistentDry,A,62.5613,VUMY,Eschscholzia californica,high,NA,10,12,3179,15,12
1,dry,consistentDry,A,3.6717,LACA,Avena fatua,high,NA,297,12,15,15,12
1,dry,consistentDry,A,4.4912,VUMY,Avena fatua,high,NA,297,12,15,15,12
1,dry,consistentDry,A,0,BRHO,Avena fatua,high,NA,297,12,15,15,12
1,dry,consistentDry,A,1.3247,ESCA,Avena fatua,high,NA,297,12,15,15,12
1,dry,consistentDry,A,20.0826,AVFA,Trifolium hirtum,high,NA,10,12,15,15,12
